| table_name     | column_name           | data_type                | is_nullable | column_default    | primary_key | foreign_key_reference               |
| -------------- | --------------------- | ------------------------ | ----------- | ----------------- | ----------- | ----------------------------------- |
| billing_events | id                    | uuid                     | NO          | gen_random_uuid() | PRIMARY KEY |                                     |
| billing_events | user_id               | uuid                     | YES         | null              |             | FOREIGN KEY REFERENCES profiles(id) |
| billing_events | stripe_event_id       | text                     | NO          | null              |             |                                     |
| billing_events | event_type            | text                     | NO          | null              |             |                                     |
| billing_events | payload               | jsonb                    | NO          | null              |             |                                     |
| billing_events | processed_at          | timestamp with time zone | NO          | now()             |             |                                     |
| billing_events | processing_status     | text                     | NO          | 'pending'::text   |             |                                     |
| billing_events | error_message         | text                     | YES         | null              |             |                                     |
| books          | id                    | uuid                     | NO          | gen_random_uuid() | PRIMARY KEY |                                     |
| books          | user_id               | uuid                     | NO          | null              |             | FOREIGN KEY REFERENCES profiles(id) |
| books          | created_at            | timestamp with time zone | NO          | now()             |             |                                     |
| books          | title                 | text                     | NO          | null              |             |                                     |
| books          | author_name           | text                     | NO          | null              |             |                                     |
| books          | genre                 | text                     | NO          | null              |             |                                     |
| books          | plot_summary          | text                     | YES         | null              |             |                                     |
| books          | writing_style         | text                     | YES         | null              |             |                                     |
| books          | chapter_titles        | jsonb                    | YES         | null              |             |                                     |
| books          | total_chapters        | integer                  | NO          | 1                 |             |                                     |
| books          | status                | text                     | NO          | 'pending'::text   |             |                                     |
| books          | progress              | numeric                  | YES         | null              |             |                                     |
| books          | content_url           | text                     | YES         | null              |             |                                     |
| books          | tokens_consumed       | integer                  | YES         | null              |             |                                     |
| books          | error_message         | text                     | YES         | null              |             |                                     |
| books          | epub_url              | text                     | YES         | null              |             |                                     |
| books          | metadata_url          | text                     | YES         | null              |             |                                     |
| profiles       | id                    | uuid                     | NO          | null              | PRIMARY KEY |                                     |
| profiles       | created_at            | timestamp with time zone | NO          | now()             |             |                                     |
| profiles       | updated_at            | timestamp with time zone | YES         | now()             |             |                                     |
| profiles       | full_name             | text                     | YES         | null              |             |                                     |
| profiles       | avatar_url            | text                     | YES         | null              |             |                                     |
| profiles       | subscription_status   | text                     | NO          | 'free'::text      |             |                                     |
| profiles       | books_generated_today | integer                  | NO          | 0                 |             |                                     |
| profiles       | last_generation_date  | date                     | YES         | null              |             |                                     |
| profiles       | stripe_customer_id    | text                     | YES         | null              |             |                                     |
